id_fonction; catalytic activity; keywords_biological_process; keywords_molecular_function; keywords_cellular_component
FU75; ATP + acetyl-CoA + HCO(3)(-) = ADP + phosphate + malonyl-CoA., ATP + biotin-[carboxyl-carrier-protein] + HCO(3)(-) = ADP + phosphate + carboxy-biotin-[carboxyl-carrier-protein].; Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism; Ligase; Cytoplasm
FU76; None; Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism; Ligase; Chloroplast, Plastid
FU77; 1-aminocyclopropane-1-carboxylate + ascorbate + O(2) = ethylene + cyanide + dehydroascorbate + CO(2) + 2 H(2)O.; Ethylene biosynthesis, Fruit ripening; Oxidoreductase; None
FU78; Isocitrate = succinate + glyoxylate.; Glyoxylate bypass, Tricarboxylic acid cycle; Lyase; Glyoxysome, Peroxisome
FU79; None; Electron transport, Transport; Oxidoreductase; Membrane
FU80; None; Electron transport, Transport; Oxidoreductase; Membrane
FU81; ADP + phosphate + acetyl-CoA + oxaloacetate = ATP + citrate + CoA.; Lipid biosynthesis, Lipid metabolism; Acyltransferase, Transferase; Cytoplasm
FU82; ADP + phosphate + acetyl-CoA + oxaloacetate = ATP + citrate + CoA.; Lipid biosynthesis, Lipid metabolism; Acyltransferase, Transferase; Cytoplasm
FU83; ADP + phosphate + acetyl-CoA + oxaloacetate = ATP + citrate + CoA.; Lipid biosynthesis, Lipid metabolism; Acyltransferase, Transferase; Cytoplasm
FU84; ADP + phosphate + acetyl-CoA + oxaloacetate = ATP + citrate + CoA.; Lipid biosynthesis, Lipid metabolism; Acyltransferase, Lyase, Transferase; Cytoplasm
FU85; Citrate = isocitrate.; Glyoxylate bypass; Lyase; Cytoplasm
FU86; Arsenate + glutaredoxin = arsenite + glutaredoxin disulfide + H(2)O.; None; Oxidoreductase; None
FU87; Arsenate + glutaredoxin = arsenite + glutaredoxin disulfide + H(2)O.; None; Oxidoreductase; None
FU88; None; None; None; Cytoplasm, Cytoskeleton
FU89; None; None; None; Cytoplasm, Cytoskeleton
FU90; None; None; None; Cytoplasm, Cytoskeleton
FU91; None; None; None; Cytoplasm, Cytoskeleton
FU92; L-arginine = agmatine + CO(2).; Putrescine biosynthesis, Spermidine biosynthesis; Decarboxylase, Lyase; None
FU93; Chorismate + L-glutamine = 4-amino-4-deoxychorismate + L-glutamate.; Folate biosynthesis; Transferase; Chloroplast, Plastid
FU94; None; None; None; None
FU95; None; None; None; None
FU96; None; None; None; None
FU97; None; Stress response; None; None
FU98; None; None; None; None
FU99; None; None; None; None
FU100; None; None; None; None
FU101; None; None; None; None
FU102; None; None; None; None
FU103; None; None; None; None
FU104; None; None; None; None
FU105; An alcohol + NAD(+) = an aldehyde or ketone + NADH.; None; Oxidoreductase; Cytoplasm
FU106; An alcohol + NAD(+) = an aldehyde or ketone + NADH.; None; Oxidoreductase; Cytoplasm
FU107; An alcohol + NAD(+) = an aldehyde or ketone + NADH., S-(hydroxymethyl)glutathione + NAD(P)(+) = S-formylglutathione + NAD(P)H.; None; Oxidoreductase; Cytoplasm
FU108; None; Biological rhythms, Sensory transduction, Ubl conjugation pathway; Photoreceptor protein, Receptor; Nucleus
FU109; None; Biological rhythms, Sensory transduction, Ubl conjugation pathway; Photoreceptor protein, Receptor; Nucleus
FU110; None; Biological rhythms, Sensory transduction, Ubl conjugation pathway; Photoreceptor protein, Receptor; Nucleus
FU111; None; Stress response; None; Membrane
FU112; None; Stress response; None; Membrane
FU113; None; Stress response; None; Membrane
FU114; CDP-choline + H(2)O = CMP + phosphocholine., ADP-D-ribose + H(2)O = AMP + D-ribose 5-phosphate., CDP-glycerol + H(2)O = CMP + sn-glycerol 3-phosphate.; None; Hydrolase; None
FU115; None; Transport; None; Membrane, Mitochondrion, Mitochondrion inner membrane
FU116; Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-D-galactosides, including galactose oligosaccharides, galactomannans and galactolipids.; None; Glycosidase, Hydrolase; None
FU117; None; None; None; None
FU118; Hydrolysis of terminal, non-reducing (1->4)-linked alpha-D-glucose residues with release of alpha-D-glucose.; None; Glycosidase, Hydrolase; None
FU119; N-acetyl-alpha-D-glucosamine 1-phosphate = N-acetyl-D-glucosamine 6-phosphate.; None; Isomerase; None
FU120; None; RNA-mediated gene silencing; None; None
FU121; None; RNA-mediated gene silencing; None; None
FU122; None; RNA-mediated gene silencing; None; None
FU123; None; RNA-mediated gene silencing; None; None
FU124; None; RNA-mediated gene silencing; None; None
FU125; None; RNA-mediated gene silencing; None; None
FU126; None; RNA-mediated gene silencing; None; None
FU127; None; RNA-mediated gene silencing; None; None
FU128; None; RNA-mediated gene silencing; None; None
FU129; None; RNA-mediated gene silencing; None; None
FU130; None; RNA-mediated gene silencing; None; None
FU131; None; RNA-mediated gene silencing; None; None
FU132; None; RNA-mediated gene silencing; None; None
FU133; None; RNA-mediated gene silencing; None; None
FU134; None; RNA-mediated gene silencing; None; None
FU135; None; RNA-mediated gene silencing; None; None
FU136; None; RNA-mediated gene silencing; None; None
FU137; None; None; None; Membrane, Vacuole
FU138; N-carbamoylputrescine + H(2)O = putrescine + CO(2) + NH(3).; Polyamine biosynthesis; Hydrolase; None
FU139; None; None; Oxidoreductase; None
FU140; None; None; Oxidoreductase; None
FU141; None; None; Oxidoreductase; None
FU142; None; Ion transport, Potassium transport, Transport; Ion channel, Potassium channel, Voltage-gated channel; Membrane
FU143; None; Ion transport, Potassium transport, Transport; Ion channel, Potassium channel, Voltage-gated channel; Membrane
FU144; None; Ion transport, Potassium transport, Transport; Ion channel, Potassium channel, Voltage-gated channel; Membrane
FU145; None; Plant defense; Aminotransferase, Transferase; None
FU146; An aldehyde + H(2)O + O(2) = a carboxylate + H(2)O(2).; Abscisic acid biosynthesis, Auxin biosynthesis; Oxidoreductase; None
FU147; An aldehyde + H(2)O + O(2) = a carboxylate + H(2)O(2).; Abscisic acid biosynthesis, Auxin biosynthesis; Oxidoreductase; None
FU148; An aldehyde + H(2)O + O(2) = a carboxylate + H(2)O(2).; Abscisic acid biosynthesis, Auxin biosynthesis; Oxidoreductase; None
FU149; An aldehyde + H(2)O + O(2) = a carboxylate + H(2)O(2).; Abscisic acid biosynthesis, Auxin biosynthesis; Oxidoreductase; None
FU150; None; None; None; None
FU151; D-fructose 1,6-bisphosphate = glycerone phosphate + D-glyceraldehyde 3-phosphate.; Glycolysis; Lyase; Chloroplast, Plastid
FU152; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU153; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU154; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU155; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU156; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU157; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU158; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU159; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU160; None; Transcription, Transcription regulation; Chromatin regulator; Nucleus
FU161; D-fructose 1,6-bisphosphate = glycerone phosphate + D-glyceraldehyde 3-phosphate.; Glycolysis, Stress response; Lyase; Cytoplasm
FU162; (S)-allantoin + H(2)O = allantoate.; Purine metabolism; Hydrolase; None
FU163; AMP + H(2)O = IMP + NH(3).; Nucleotide metabolism; Hydrolase; Membrane
FU164; Release of an N-terminal amino acid, Xaa-|-Yaa-, in which Xaa is preferably Leu, but may be other amino acids including Pro although not Arg or Lys, and Yaa may be Pro. Amino acid amides and methyl esters are also readily hydrolyzed, but rates on arylamides are exceedingly low., Release of N-terminal proline from a peptide.; None; Aminopeptidase, Hydrolase, Protease; Cytoplasm
FU165; Release of an N-terminal amino acid, Xaa-|-Yaa-, in which Xaa is preferably Leu, but may be other amino acids including Pro although not Arg or Lys, and Yaa may be Pro. Amino acid amides and methyl esters are also readily hydrolyzed, but rates on arylamides are exceedingly low., Release of N-terminal proline from a peptide.; None; Aminopeptidase, Hydrolase, Protease; Chloroplast, Plastid
FU166; None; Ammonia transport, Transport; None; Membrane
FU167; None; Ammonia transport, Transport; None; Membrane
FU168; None; Ammonia transport, Transport; None; Cell membrane, Membrane
FU169; None; Ammonia transport, Transport; None; Membrane
FU170; None; Ammonia transport, Transport; None; Membrane
FU171; None; Ammonia transport, Transport; None; Membrane
FU172; None; Ammonia transport, Transport; None; Membrane
FU173; None; Ammonia transport, Transport; None; Membrane
FU174; None; Ammonia transport, Transport; None; Membrane
FU175; None; None; None; Membrane
FU176; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU177; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU178; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU179; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU180; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU181; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU182; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU183; Endohydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides containing three or more (1->4)-alpha-linked D-glucose units.; Carbohydrate metabolism; Glycosidase, Hydrolase; None
FU184; None; None; None; None
FU185; None; None; None; None
FU186; S-adenosyl-L-methionine + arginine-[histone] = S-adenosyl-L-homocysteine + N(omega)-methyl-arginine-[histone].; None; Methyltransferase, Transferase; None
FU187; None; None; Methyltransferase, Transferase; Cytoplasm
FU188; None; None; Methyltransferase, Transferase; Nucleus
FU189; None; None; Methyltransferase, Transferase; None
FU190; None; None; Methyltransferase, Transferase; None
FU191; S-adenosyl-L-methionine + arginine-[histone] = S-adenosyl-L-homocysteine + N(omega)-methyl-arginine-[histone].; None; Methyltransferase, Transferase; Cytoplasm
FU192; None; None; Methyltransferase, Transferase; None
FU193; None; None; None; Membrane, Vacuole
FU194; None; None; None; Membrane, Vacuole
FU195; None; None; None; Membrane, Vacuole
FU196; None; Brassinosteroid signaling pathway, Growth regulation, Transcription, Transcription regulation; Repressor; Nucleus
FU197; Release of an N-terminal amino acid, Xaa-|-Yaa- from a peptide, amide or arylamide. Xaa is preferably Ala, but may be most amino acids including Pro (slow action). When a terminal hydrophobic residue is followed by a prolyl residue, the two may be released as an intact Xaa-Pro dipeptide.; None; Aminopeptidase, Hydrolase, Metalloprotease, Protease; Cytoplasm, Endoplasmic reticulum, Membrane, Microsome
FU198; Release of an N-terminal amino acid, Xaa-|-Yaa- from a peptide, amide or arylamide. Xaa is preferably Ala, but may be most amino acids including Pro (slow action). When a terminal hydrophobic residue is followed by a prolyl residue, the two may be released as an intact Xaa-Pro dipeptide.; None; Aminopeptidase, Hydrolase, Metalloprotease, Protease; Cytoplasm, Endoplasmic reticulum, Membrane, Microsome
FU199; Release of an N-terminal amino acid, Xaa-|-Yaa- from a peptide, amide or arylamide. Xaa is preferably Ala, but may be most amino acids including Pro (slow action). When a terminal hydrophobic residue is followed by a prolyl residue, the two may be released as an intact Xaa-Pro dipeptide.; None; Aminopeptidase, Hydrolase, Metalloprotease, Protease; Cytoplasm, Endoplasmic reticulum, Membrane, Microsome
FU200; Release of an N-terminal amino acid, Xaa-|-Yaa- from a peptide, amide or arylamide. Xaa is preferably Ala, but may be most amino acids including Pro (slow action). When a terminal hydrophobic residue is followed by a prolyl residue, the two may be released as an intact Xaa-Pro dipeptide.; None; Aminopeptidase, Hydrolase, Metalloprotease, Protease; Cytoplasm, Endoplasmic reticulum, Membrane, Microsome
FU201; AMP + sulfite + glutathione disulfide = adenylyl sulfate + 2 glutathione.; Amino-acid biosynthesis, Cysteine biosynthesis, Stress response; Oxidoreductase; Chloroplast, Plastid
FU202; None; None; None; Membrane
FU203; None; None; None; Membrane
FU204; None; None; Isomerase; Membrane
FU205; None; None; Isomerase; Membrane
FU206; None; None; None; Membrane
FU207; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide, Stress response; Oxidoreductase, Peroxidase; Cytoplasm
FU208; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide, Stress response; Oxidoreductase, Peroxidase; Cytoplasm
FU209; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Membrane
FU210; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Chloroplast, Plastid
FU211; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Chloroplast, Plastid
FU212; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Chloroplast, Membrane, Plastid
FU213; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Chloroplast, Plastid
FU214; A nucleoside 5'-triphosphate + 2 H(2)O = a nucleoside 5'-phosphate + 2 phosphate.; None; Hydrolase; Membrane
FU215; 2 L-ascorbate + H(2)O(2) + 2 H(+) = L-ascorbate + L-dehydroascorbate + 2 H(2)O.; Hydrogen peroxide; Oxidoreductase, Peroxidase; Membrane
FU216; A nucleoside 5'-triphosphate + 2 H(2)O = a nucleoside 5'-phosphate + 2 phosphate.; None; Hydrolase; Secreted
FU217; A nucleoside 5'-triphosphate + 2 H(2)O = a nucleoside 5'-phosphate + 2 phosphate.; None; Hydrolase; Membrane
FU218; UDP-L-arabinose = UDP-D-xylose.; Carbohydrate metabolism; Isomerase; Golgi apparatus, Membrane
FU219; UDP-L-arabinose = UDP-D-xylose.; Carbohydrate metabolism; Isomerase; Golgi apparatus, Membrane
FU220; UDP-L-arabinose = UDP-D-xylose.; Carbohydrate metabolism; Isomerase; Golgi apparatus, Membrane
FU221; None; ER-Golgi transport, Protein transport, Transport; None; Golgi apparatus
FU222; None; ER-Golgi transport, Protein transport, Transport; None; Golgi apparatus
FU223; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU224; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU225; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU226; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU227; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU228; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU229; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU230; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU231; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU232; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU233; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU234; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU235; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU236; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU237; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU238; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU239; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU240; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU241; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU242; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU243; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU244; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU245; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU246; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU247; None; Auxin signaling pathway, Transcription, Transcription regulation; None; Nucleus
FU248; N-acetyl-L-glutamate 5-semialdehyde + NADP(+) + phosphate = N-acetyl-5-glutamyl phosphate + NADPH.; Amino-acid biosynthesis, Arginine biosynthesis; Oxidoreductase; Chloroplast, Plastid
FU249; L-arginine + H(2)O = L-ornithine + urea.; Arginine metabolism; Hydrolase; Mitochondrion
FU250; N(2)-acetyl-L-ornithine + L-glutamate = L-ornithine + N-acetyl-L-glutamate., Acetyl-CoA + L-glutamate = CoA + N-acetyl-L-glutamate.; Amino-acid biosynthesis, Arginine biosynthesis; Acyltransferase, Transferase; Chloroplast, Plastid
FU251; None; None; Developmental protein; Cytoplasm, Endoplasmic reticulum, Membrane, Nucleus
FU252; None; None; Motor protein; Cytoplasm, Cytoskeleton, Microtubule
FU253; None; None; Motor protein; Cytoplasm, Cytoskeleton, Microtubule
FU254; Phosphoenolpyruvate + D-erythrose 4-phosphate + H(2)O = 3-deoxy-D-arabino-hept-2-ulosonate 7-phosphate + phosphate.; Amino-acid biosynthesis, Aromatic amino acid biosynthesis; Transferase; Chloroplast, Plastid
FU255; Phosphoenolpyruvate + D-erythrose 4-phosphate + H(2)O = 3-deoxy-D-arabino-hept-2-ulosonate 7-phosphate + phosphate.; Amino-acid biosynthesis, Aromatic amino acid biosynthesis; Transferase; Chloroplast, Plastid
FU256; None; None; Developmental protein; Cytoplasm, Cytoskeleton
FU257; None; None; Developmental protein; Cytoplasm, Cytoskeleton
FU258; None; None; Chromatin regulator, Developmental protein; Cytoplasm, Cytoskeleton, Nucleus
FU259; None; None; None; Nucleus
FU260; None; None; Chromatin regulator, Developmental protein; Cytoplasm, Cytoskeleton, Nucleus
FU261; None; Plant defense; Chromatin regulator, Developmental protein; Cytoplasm, Cytoskeleton, Nucleus
FU262; None; None; None; Cytoplasm, Nucleus
FU263; None; None; None; None
FU264; None; Transcription, Transcription regulation; Activator; Nucleus
FU265; Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate.; Amino-acid biosynthesis, Aromatic amino acid biosynthesis, Tryptophan biosynthesis; Lyase; Chloroplast, Plastid
FU266; Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate.; Amino-acid biosynthesis, Aromatic amino acid biosynthesis, Tryptophan biosynthesis; Lyase; Chloroplast, Plastid
FU267; Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate.; Amino-acid biosynthesis, Aromatic amino acid biosynthesis, Tryptophan biosynthesis; Lyase; Chloroplast, Plastid
FU268; Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate.; Amino-acid biosynthesis, Aromatic amino acid biosynthesis, Tryptophan biosynthesis; Lyase; Chloroplast, Plastid
FU269; None; Lipid biosynthesis, Lipid metabolism; None; Endoplasmic reticulum, Membrane
FU270; None; Lipid biosynthesis, Lipid metabolism; None; Endoplasmic reticulum, Membrane
FU271; None; Lipid biosynthesis, Lipid metabolism; None; Endoplasmic reticulum, Membrane
FU272; ATP + L-aspartate + L-glutamine + H(2)O = AMP + diphosphate + L-asparagine + L-glutamate.; Amino-acid biosynthesis, Asparagine biosynthesis; Ligase; None
FU273; ATP + L-aspartate + L-glutamine + H(2)O = AMP + diphosphate + L-asparagine + L-glutamate.; Amino-acid biosynthesis, Asparagine biosynthesis; Ligase; None
FU274; None; None; Aspartyl protease, Hydrolase, Protease; None
FU275; None; None; Aspartyl protease, Hydrolase, Protease; Vacuole
FU276; None; None; Aspartyl protease, Hydrolase, Protease; Vacuole
FU277; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; None; Cytoplasm
FU278; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; Hydrolase, Protease, Thiol protease; Cytoplasm
FU279; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; Hydrolase, Protease, Thiol protease; Cytoplasm
FU280; None; Autophagy, Protein transport, Transport; None; Cytoplasm
FU281; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; None; Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule, Vacuole
FU282; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; None; Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule, Vacuole
FU283; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; None; Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule, Vacuole
FU284; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; None; Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule, Vacuole
FU285; None; Autophagy, Protein transport, Transport, Ubl conjugation pathway; None; Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule, Vacuole
FU286; None; Ubl conjugation pathway; Ligase; Membrane
FU287; None; Ubl conjugation pathway; Ligase; Membrane
FU288; None; Ubl conjugation pathway; Ligase; Membrane
FU289; None; Hydrogen ion transport, Ion transport, Transport; None; CF(0), Membrane, Mitochondrion
FU290; None; ATP synthesis, Hydrogen ion transport, Ion transport, Transport; None; CF(1), Membrane, Mitochondrion, Mitochondrion inner membrane
